Meeting Key,Meeting Name,Repeatable,Agenda Item Key,Agenda Item Title,Task Key,Task Name,Form,Task Description,Task Type,Include School Tracker Field,Include School Tracker Value,Complete Tracker Field,Complete Tracker Value
intake_call,1- Intake call with counselor & parent,,review_intake_questionnaire,Review intake questionnaire,intake_parent,Complete Intake Questionnaire (parents),Parent Intake Questionnaire,,,,,,
intake_call,1- Intake call with counselor & parent,,discuss_cadence,Discuss cadence of the program,intake_student,Complete Getting to Know You (students),Getting To Know You!,,,,,,
intake_call,1- Intake call with counselor & parent,,communicate_schoolnet,Best way to communicate via UMS,,,,,,,,,
intake_meeting,2- Intake meeting with counselor & student,,review_questionnaire,Review Getting to Know You Questionnaire,getting_to_know_you,Complete Getting to Know You,,,,,,,
intake_meeting,2- Intake meeting with counselor & student,,review_questionnaire,Review Getting to Know You Questionnaire,welcome_collegewise,Watch welcome to Collegewise Videos,,,,,,,
intake_meeting,2- Intake meeting with counselor & student,,review_questionnaire,Review Getting to Know You Questionnaire,character_counts,Watch Character Counts,,,,,,,
intake_meeting,2- Intake meeting with counselor & student,,review_transcript,Review transcript – decide on preliminary courses for 12th,compile_transcripts,"Compile and send relevant academic information: transcripts, test scores, etc",,,,,,,
intake_meeting,2- Intake meeting with counselor & student,,schedule_diag,Schedule any necessary diagnostics prior to Testing meeting,,,,,,,,,
activity_assessment,3 - Activity Assessment & Planning,,review_activity_chart,Review activity chart. Discuss how to focus and expand priority activities,complete_activity_chart,Fill out activity chart,,,,,,,
activity_assessment,3 - Activity Assessment & Planning,,review_activity_chart,Review activity chart. Discuss how to focus and expand priority activities,watch_activity_planning,Watch Creative Activity Planning,,,,,,,
activity_assessment,3 - Activity Assessment & Planning,,discuss_summer_activities,Discuss how to pursue certain activities over summer/summer planning,,,,,,,,,
testing,4 - Testing,,review_test_scores,Review any test scores and/or plan for diagnostics,take_diagnostics,Confirm and take any needed diagnostics,,,,,,,
testing,4 - Testing,,create_testing_plan,"If applicable, create a testing plan (prep needed/timeline for testing)",,,,,,,,,
intro_college_research,5- Introduction to College Research,,review_college_research_questionnaire,Review questionnaire,student_college_search,Complete the College Search Questionnaire,Student College Search Questionnaire,,,,,,
intro_college_research,5- Introduction to College Research,,review_college_research_questionnaire,Review questionnaire,parent_college_search,Complete the College Search Questionnaire,Parent College Search Questionnaire,,,,,,
