Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Essay Brainstorming,transfer-essay-brainstorming,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",,,transfer-essay-brainstorm,Essay brainstorm,,Brainstorm and outline perosnal statement,,transfer Watch Essay Brainstorming,Watch Essay Brainstorming,,pre,student,,,Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
Essay Brainstorming,transfer-essay-brainstorming,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",,,transfer-essay-brainstorm,Essay brainstorm,,Brainstorm and outline perosnal statement,,transfer Read this blogpost on the importance of the college essay,Read this blogpost on the importance of the college essay,,pre,student,,,Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
Essay Brainstorming,transfer-essay-brainstorming,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",,,transfer-essay-brainstorm,Essay brainstorm,,Brainstorm and outline perosnal statement,,transfer Complete the brainstorming exercises in the Prompt tab,Complete the brainstorming exercises in the Prompt tab,,pre,student,,,Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
Essay Brainstorming,transfer-essay-brainstorming,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",,,transfer-essay-brainstorm,Essay brainstorm,,Brainstorm and outline perosnal statement,,transfer Block off the remainder of the brainstorming day for writing,Block off the remainder of the brainstorming day for writing,,pre,student,,,Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
Essay Brainstorming,transfer-essay-brainstorming,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",,,transfer-essay-brainstorm,Essay brainstorm,,Brainstorm and outline perosnal statement,,transfer Submit your first draft within 24 hours,Submit your first draft within 24 hours,,post,student,,,Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Create and fill out Coalition App,Create and fill out Coalition App,,pre,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Create and fill out UC Application,Create and fill out UC Application,,pre,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Create and fill out Apply Texas,Create and fill out Apply Texas,,pre,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Create and fill out Cal State,Create and fill out Cal State,,pre,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Create and fill out the school-specific application for the school listed,Create and fill out the school-specific application for the school listed,,pre,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
